,Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
0,CMCSA,2.5785,13.3008,1.5556,0.1638,0.5404,0.7915
1,KMI,0.671,23.303,1.1083,0.0478,0.6323,0.7572
2,INTC,4.6128,10.2691,0.3535,0.2824,1.105,1.7314
3,MU,12.1873,4.2999,0.1436,0.4377,2.1342,2.7875
5,BAC,2.7201,9.3333,1.0075,0.1061,0.4108,0.4122
6,AAPL,12.3254,18.9226,1.0699,0.5556,0.9945,1.1293
7,MSFT,2.1568,46.5163,0.989,0.2003,2.7399,2.9066
8,SIRI,0.2647,21.9615,-3.7909,-0.6472,0.1024,0.1705
9,HPQ,3.3664,7.3152,-9.3693,-8.3365,0.409,0.851
10,CX,0.2309,42.959,1.1011,0.0555,0.46,0.7461
11,CZR,0.4524,15.4318,5.8591,0.0932,1.06,1.1325
12,F,0.9244,8.2258,4.2996,0.1023,1.6223,1.2033
13,AMD,0.3372,54.2941,0.9874,0.2662,1.2051,1.7843
16,WFC,4.3951,10.6914,0.9684,0.1142,0.118,0.2803
18,T,2.6614,10.014,0.9579,0.1052,0.4917,0.7983
19,C,7.389,7.7818,1.2826,0.092,0.4333,0.5137
20,VALE,1.3199,9.9924,0.4497,0.156,0.9732,1.6784
21,MS,4.7798,8.2432,2.5875,0.109,0.392,1.7589
22,AKS,0.5895,3.8136,19.957,1.8619,0.6064,1.9505
23,JPM,9.2346,10.7987,1.0988,0.1197,0.3215,0.5619
24,ORCL,0.8787,53.7011,1.3072,0.0774,3.7857,3.9824
25,NKE,1.1993,60.3361,0.3883,0.197,1.4475,2.5056
26,PG,3.8774,20.8347,0.5916,0.1844,0.5856,0.8259
27,GSM,0.2539,6.36,0.7291,0.0568,0.7848,1.7684
28,BBD,2.2711,13.551,2.1537,0.1334,0.2965,0.4083
29,PFE,1.9294,22.9737,0.6583,0.1759,0.8431,1.5671
32,TWTR,1.5837,17.9625,0.3998,0.1771,4.6152,4.6897
33,AVGO,29.6507,7.5039,0.6562,0.4599,3.2579,3.8952
34,AMAT,3.3703,9.5168,0.7756,0.484,1.6198,2.7037
35,ZNGA,0.0179,196.5,0.0626,0.0097,1.4752,1.5574
36,XOM,4.9223,13.9734,0.1969,0.1087,0.4855,0.8396
38,VIPS,16.2222,11.7243,0.3846,0.1233,0.8463,1.0532
39,CSCO,0.0234,2108.5,0.5918,0.0025,2.2908,2.2873
40,AXP,8.1017,12.0202,2.1134,0.3105,1.1677,1.8175
41,BMY,3.0143,17.2691,0.5238,0.3507,1.3937,1.6107
42,V,5.0638,34.0384,0.489,0.3029,1.4144,1.6113
45,KEY,1.7399,8.5434,0.8805,0.1197,0.0062,0.0529
46,RF,1.6395,8.6323,0.8233,0.1123,0.0525,0.0482
47,KR,2.1637,13.4929,2.2492,0.2751,0.1397,0.7831
48,HAL,1.8903,14.0635,1.083,0.1739,1.5081,2.3222
49,BABA,3.1621,44.799,0.3432,0.1752,1.5478,1.8913
50,MRO,1.3185,11.0308,0.4534,0.0904,1.387,1.5944
51,GILD,4.2169,14.8929,1.2775,0.2551,3.151,3.3792
52,GM,5.6086,5.9626,2.7007,0.2062,1.0371,0.9156
53,FCX,1.7957,5.7598,1.1371,0.2656,1.5158,3.2202
54,CRM,0.4984,227.82,0.1658,0.0347,0.8386,0.952
55,ATVI,2.376,19.5672,0.2345,0.1591,1.9909,2.3111
57,NUE,7.52,6.9637,0.4382,0.2411,1.3913,3.0775
58,SWN,0.9204,3.6667,0.9814,0.2273,1.078,1.13
59,LOW,4.1542,24.8166,2.8938,0.5869,0.057,1.0559
60,RAD,17.6761,2.1691,2.1184,0.5893,0.6687,1.367
61,VEON,0.0808,7.0909,2.1406,0.0387,0.5609,0.7015
62,SLB,1.5439,23.4286,0.4439,0.0591,0.7903,1.1665
63,FLEX,0.8121,19.7407,0.9742,0.142,0.549,1.2617
65,ABBV,3.7807,25.1199,-4.7727,-0.6733,0.7799,0.9829
66,GIS,3.7375,11.5122,2.5759,0.347,0.2837,0.5617
67,VZ,3.758,14.9521,2.1298,0.2922,0.7342,0.9132
68,XRX,1.515,14.1143,1.045,0.0721,1.7939,1.4442
70,X,6.2899,2.8906,0.5666,0.2653,0.9922,1.5108
73,MIK,2.1545,12.0853,-1.8063,-0.2587,0.472,1.7506
74,DVN,6.5442,3.671,0.4849,0.3336,1.4686,1.9933
75,IBN,13.241,22.1771,2.0618,0.0697,0.1423,0.1737
76,MPC,4.024,11.0093,0.7825,0.079,0.5705,1.3637
77,PM,5.089,13.1417,-2.5491,-0.635,0.5908,1.1309
78,MSCI,5.7693,25.2882,-15.469,-3.0505,1.7028,1.7739
79,RDN,2.8407,5.7809,0.3818,0.1737,0.3835,0.9362
80,KO,1.5116,31.3576,2.6037,0.3789,0.6879,0.8662
81,SRC,1.4201,25.1786,0.7359,0.0471,0.056,0.7708
82,COP,5.435,11.6325,0.4686,0.1959,1.5811,1.795
83,CHK,0.8482,2.4706,3.6912,0.4173,0.4333,0.5535
84,DIS,8.4707,13.8381,0.428,0.2583,0.755,0.942
85,LEN,5.1344,7.826,0.6077,0.1163,0.3923,5.1498
86,CVX,7.7581,13.9296,0.2223,0.0959,1.0061,1.2521
87,PYPL,1.7456,48.3276,0.1299,0.1337,1.2359,1.2725
